"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12983","verify error message","chromium","2026-07-28","passed","2026-07-28","","verifyErrorMessage.spec.js","",""
"","7841","Handle prompt","chromium","2026-07-28","passed","2026-07-28","","Alert.spec.js","",""
"","30620","valid login","chromium","2026-07-28","broken","2026-07-28","","login.spec.js","",""
"","17090","Handle frame","chromium","2026-07-28","passed","2026-07-28","","frame.spec.js","",""
"","8859","valid login","chromium","2026-07-28","passed","2026-07-28","","mouseHover.spec.js","",""
"","10588","Auto Suggestion Using loop","chromium","2026-07-28","passed","2026-07-28","","handleAutoSuggessition.spec.js","",""
"","0","my second test","chromium","2026-07-28","skipped","2026-07-28","","sample.spec.js","",""
"","1156","my fifth test","chromium","2026-07-28","passed","2026-07-28","","sample.spec.js","",""
"","31443","test","chromium","2026-07-28","passed","2026-07-28","","codegen.spec.js","",""
"","5126","Multiple elements","chromium","2026-07-28","failed","2026-07-28","","locatinmultipleElement.spec.js","",""
"","9466","Keyword Handling","chromium","2026-07-28","passed","2026-07-28","","keywordHandle.spec.js","",""
"","1942","my third test","chromium","2026-07-28","passed","2026-07-28","","sample.spec.js","",""
"","19854","verify locator","chromium","2026-07-28","passed","2026-07-28","","locator.spec.js","",""
"","13","Alert","chromium","2026-07-28","skipped","2026-07-28","","Alert.spec.js","",""
"","1033","my first test","chromium","2026-07-28","passed","2026-07-28","","sample.spec.js","",""
"","11857","Multiple Tabs","chromium","2026-07-28","passed","2026-07-28","","Multiplytabs.spec.js","",""
"","9201","verify google title","chromium","2026-07-28","failed","2026-07-28","","google.spec.js","",""
"","9941","Auto Suggestion using keyword","chromium","2026-07-28","passed","2026-07-28","","handleAutoSuggessition.spec.js","",""
"","12000","valid login","chromium","2026-07-28","passed","2026-07-28","","dropdown.spec.js","",""
"","10","Confirm Alert","chromium","2026-07-28","skipped","2026-07-28","","Alert.spec.js","",""
"","1066","my fourth test","chromium","2026-07-28","passed","2026-07-28","","sample.spec.js","",""
"","4073","working on the load state","chromium","2026-07-28","passed","2026-07-28","","waitForLoadState.spec.js","",""
"","77236","valid login","chromium","2026-07-28","passed","2026-07-28","","readFile.spec.js","",""
"","1002","my sixth test","chromium","2026-07-28","passed","2026-07-28","","sample.spec.js","",""
"","6185","valid login","chromium","2026-07-28","passed","2026-07-28","","fileUpload.spec.js","",""
